cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,572713.89,276237.69,233845.37,303119.39,204407.66,336627.5,314162.61,310783.92,331749.22,472813.64,456080.61,513803.59,185803.13
2011-01,293207.35000000003,55149.91,63268.17,71587.4,81114.09,84583.78,70107.4,72689.71,72023.651,111803.9,123882.1,26464.82,
2011-02,158142.07,29043.24,41134.38,48238.86,40147.91,34223.23,49706.63,62450.83,55380.06,64809.45,10600.22,,
2011-03,200069.96,30059.43,59057.51,42816.61,51657.33,40020.81,64919.49,71023.95,71265.83,12868.02,,,
2011-04,122011.491,29452.82,25077.07,24311.47,26314.19,30206.3,28668.98,34228.61,6350.1,,,,
2011-05,124103.78,18682.76,20193.76,19162.170000000002,27861.87,32976.6,33312.91,179251.53,,,,,
2011-06,135742.95,14805.150000000001,14155.4,30961.59,26754.54,42808.25,8227.35,,,,,,
2011-07,74008.751,11789.67,15534.18,17551.47,19512.11,6072.16,,,,,,,
2011-08,79756.1,20962.93,35503.9,44541.76,15284.36,,,,,,,,
2011-09,155103.901,28853.02,37033.97,12305.93,,,,,,,,,
2011-10,174721.76,40026.68,12621.1,,,,,,,,,,
2011-11,136592.12,15284.61,,,,,,,,,,,
2011-12,27059.46,,,,,,,,,,,,
