customer_id,orders,total_revenue,avg_order_value,first_purchase,last_purchase,active_months,countries,customer_lifetime_days,is_repeat_customer
12346,1,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,1,0,False
12347,7,4310.0,615.7142857142857,2010-12-07 14:57:00,2011-12-07 15:52:00,7,1,365,True
12348,4,1797.24,449.31,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1,282,True
12349,1,1757.55,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1,0,False
12350,1,334.4,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,1,1,0,False
12352,8,2506.04,313.255,2011-02-16 12:33:00,2011-11-03 14:37:00,4,1,260,True
12353,1,89.0,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,1,0,False
12354,1,1079.4,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1,0,False
12355,1,459.4,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,1,1,0,False
12356,3,2811.43,937.1433333333333,2011-01-18 09:50:00,2011-11-17 08:40:00,3,1,302,True
12357,1,6207.67,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,1,1,0,False
12358,2,1168.06,584.03,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1,149,True
12359,4,6372.58,1593.145,2011-01-12 12:43:00,2011-10-13 12:47:00,4,1,274,True
12360,3,2662.06,887.3533333333334,2011-05-23 09:43:00,2011-10-18 15:22:00,3,1,148,True
12361,1,189.9,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,1,1,0,False
12362,10,5226.2300000000005,522.623,2011-02-17 10:30:00,2011-12-06 15:40:00,8,1,292,True
12363,2,552.0,276.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,1,132,True
12364,4,1313.1,328.275,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1,104,True
12365,2,641.38,320.69,2011-02-21 13:51:00,2011-02-21 14:04:00,1,1,0,True
12367,1,168.9,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,1,1,0,False
12370,4,3545.6899999999996,886.4224999999999,2010-12-14 12:58:00,2011-10-19 14:51:00,3,2,309,True
12371,2,1887.96,943.98,2011-10-11 10:43:00,2011-10-26 10:16:00,1,1,14,True
12372,3,1298.04,432.68,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1,224,True
12373,1,364.6,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,1,1,0,False
12374,1,742.9300000000001,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,1,1,0,False
12375,2,457.5,228.75,2011-09-02 14:23:00,2011-11-29 10:36:00,2,1,87,True
12377,2,1628.12,814.06,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1,39,True
12378,1,4008.62,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,1,1,0,False
12379,2,852.24,426.12,2011-06-22 16:32:00,2011-09-19 10:09:00,2,1,88,True
12380,4,2724.8100000000004,681.2025000000001,2011-06-07 09:49:00,2011-11-18 11:27:00,4,1,164,True
12381,5,1845.31,369.062,2011-08-12 09:57:00,2011-12-05 12:44:00,4,1,115,True
12383,5,1850.56,370.11199999999997,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1,167,True
12384,2,585.27,292.635,2011-08-10 11:23:00,2011-11-11 08:39:00,2,1,92,True
12386,2,401.9,200.95,2010-12-08 09:53:00,2011-01-06 12:37:00,2,1,29,True
12388,6,2780.66,463.4433333333333,2011-01-17 11:12:00,2011-11-24 12:30:00,6,1,311,True
12390,1,549.84,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,1,1,0,False
12391,1,460.89,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,1,1,0,False
12393,4,1582.6,395.65,2011-01-11 09:47:00,2011-09-28 15:41:00,3,1,260,True
12394,2,1272.48,636.24,2011-05-06 14:01:00,2011-10-07 08:08:00,2,2,153,True
12395,12,3018.63,251.5525,2010-12-03 16:35:00,2011-11-20 15:21:00,8,1,351,True
12397,2,2409.8999999999996,1204.9499999999998,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1,99,True
12398,1,1635.66,1635.66,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1,0,False
12399,4,1108.65,277.1625,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1,142,True
12401,1,84.3,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,1,1,0,False
12402,1,225.6,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,1,1,0,False
12403,1,427.7,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,1,1,0,False
12405,1,1710.39,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1,0,False
12406,2,3415.3,1707.65,2011-06-09 10:23:00,2011-11-17 19:22:00,2,1,161,True
12407,5,1708.12,341.62399999999997,2011-03-20 13:21:00,2011-10-21 10:11:00,4,1,214,True
12408,5,2888.55,577.71,2011-03-24 14:46:00,2011-11-07 12:27:00,4,1,227,True
12409,3,11072.67,3690.89,2011-06-10 12:19:00,2011-09-22 10:38:00,2,1,103,True
12410,2,693.3299999999999,346.66499999999996,2011-02-04 10:38:00,2011-02-04 10:39:00,1,1,0,True
12412,3,1226.88,408.96000000000004,2011-06-23 13:51:00,2011-09-26 10:16:00,3,1,94,True
12413,3,758.1,252.70000000000002,2011-01-06 16:12:00,2011-10-04 09:00:00,3,1,270,True
12414,3,562.41,187.47,2011-02-02 14:51:00,2011-05-06 14:51:00,3,1,93,True
12415,21,124914.53,5948.310952380953,2011-01-06 11:12:00,2011-11-15 14:22:00,11,1,313,True
12417,9,3649.1,405.4555555555555,2010-12-17 11:51:00,2011-12-06 14:52:00,8,2,354,True
12418,1,668.58,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,1,1,0,False
12420,1,600.39,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,1,1,0,False
12421,4,807.04,201.76,2011-01-24 15:09:00,2011-11-24 09:07:00,4,1,303,True
12422,3,803.56,267.8533333333333,2011-01-19 09:13:00,2011-09-05 09:48:00,3,2,229,True
12423,8,1859.31,232.41375,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1,352,True
12424,2,1760.9600000000003,880.4800000000001,2011-06-30 12:06:00,2011-06-30 12:06:00,1,1,0,True
12425,1,777.2,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,1,1,0,False
12426,1,582.73,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,1,1,0,False
12427,3,825.8,275.26666666666665,2010-12-03 10:44:00,2011-11-18 08:56:00,3,1,349,True
