customer_id,first_purchase_date,last_purchase_date,recency,frequency,monetary,avg_order_value,total_quantity,unique_products,customer_lifetime_days,r_score,f_score,m_score,rfm_score,rfm_total_score,segment
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,326,1,77183.6,77183.6,74215,1,0,1,1,5,115,7,Big Spenders
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,2,7,4310.0,615.7142857142857,2458,182,365,5,5,5,555,15,Champions
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,75,4,1797.24,449.31,2341,27,282,2,4,4,244,10,At Risk High Value
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,19,1,1757.55,1757.55,631,73,0,4,1,4,414,9,New Customers
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,310,1,334.4,334.4,197,17,0,1,1,2,112,4,Lost / Low Value
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,36,8,2506.04,313.255,536,83,260,3,5,5,355,13,Loyal Customers
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,204,1,89.0,89.0,20,4,0,1,1,1,111,3,Lost / Low Value
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,232,1,1079.4,1079.4,530,58,0,1,1,4,114,6,Big Spenders
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,214,1,459.4,459.4,240,13,0,1,1,2,112,4,Lost / Low Value
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,23,3,2811.43,937.1433333333333,1591,59,302,4,3,5,435,12,Potential Loyalists
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,33,1,6207.67,6207.67,2708,131,0,4,1,5,415,10,New Customers
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,2,1168.06,584.03,248,19,149,5,2,4,524,11,New Customers
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,58,4,6372.58,1593.145,1622,243,274,3,4,5,345,12,Loyal Customers
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,52,3,2662.06,887.3533333333334,1165,129,148,3,3,5,335,11,Big Spenders
