invoice_no,customer_id,country,invoice_date,invoice_month,total_quantity,order_revenue,unique_products
536365,17850,United Kingdom,2010-12-01 08:26:00,2010-12,40,139.12,7
536366,17850,United Kingdom,2010-12-01 08:28:00,2010-12,12,22.200000000000003,2
536367,13047,United Kingdom,2010-12-01 08:34:00,2010-12,83,278.73,12
536368,13047,United Kingdom,2010-12-01 08:34:00,2010-12,15,70.05000000000001,4
536369,13047,United Kingdom,2010-12-01 08:35:00,2010-12,3,17.85,1
536370,12583,France,2010-12-01 08:45:00,2010-12,449,855.86,20
536371,13748,United Kingdom,2010-12-01 09:00:00,2010-12,80,204.0,1
536372,17850,United Kingdom,2010-12-01 09:01:00,2010-12,12,22.200000000000003,2
536373,17850,United Kingdom,2010-12-01 09:02:00,2010-12,88,259.86,16
536374,15100,United Kingdom,2010-12-01 09:09:00,2010-12,32,350.4,1
536375,17850,United Kingdom,2010-12-01 09:32:00,2010-12,88,259.86,16
536376,15291,United Kingdom,2010-12-01 09:32:00,2010-12,112,328.8,2
536377,17850,United Kingdom,2010-12-01 09:34:00,2010-12,12,22.200000000000003,2
536378,14688,United Kingdom,2010-12-01 09:37:00,2010-12,454,444.98,19
536380,17809,United Kingdom,2010-12-01 09:41:00,2010-12,24,34.8,1
536381,15311,United Kingdom,2010-12-01 09:41:00,2010-12,198,449.98,34
536382,16098,United Kingdom,2010-12-01 09:45:00,2010-12,134,430.6,12
536384,18074,United Kingdom,2010-12-01 09:53:00,2010-12,190,489.6,13
536385,17420,United Kingdom,2010-12-01 09:56:00,2010-12,53,130.85,7
536386,16029,United Kingdom,2010-12-01 09:57:00,2010-12,236,508.20000000000005,3
536387,16029,United Kingdom,2010-12-01 09:58:00,2010-12,1440,3193.92,5
536388,16250,United Kingdom,2010-12-01 09:59:00,2010-12,108,226.14,14
536389,12431,Australia,2010-12-01 10:03:00,2010-12,107,358.25,14
536390,17511,United Kingdom,2010-12-01 10:19:00,2010-12,1568,1825.74,24
536392,13705,United Kingdom,2010-12-01 10:29:00,2010-12,103,318.14,10
536393,13747,United Kingdom,2010-12-01 10:37:00,2010-12,8,79.6,1
536394,13408,United Kingdom,2010-12-01 10:39:00,2010-12,544,1024.68,11
