stock_code,description,revenue,quantity,orders,customers,avg_unit_price
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1,2.08
22423,REGENCY CAKESTAND 3 TIER,142592.94999999998,12402,1703,881,12.483401044689495
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001,36725,1971,856,2.8931065088757397
85099B,JUMBO BAG RED RETROSPOT,85220.78,46181,1600,635,2.015877626699629
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195,138,1.2203030303030302
POST,POSTAGE,77803.96,3120,1099,331,31.570482256596904
47566,PARTY BUNTING,68844.33,15291,1379,708,4.8763753581661895
84879,ASSORTED COLOUR BIRD ORNAMENT,56580.34,35362,1375,678,1.6807954545454544
M,Manual,53779.93,7173,253,197,175.29158450704224
23084,RABBIT NIGHT LIGHT,51346.2,27202,801,450,2.0139429928741093
79321,CHILLI LIGHTS,46286.51,9650,519,205,5.428759541984733
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,15617,980,613,2.9372031403336605
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1,649.5
21137,BLACK RECORD COVER FRAME,39064.55,11406,313,140,3.660536277602524
22386,JUMBO BAG PINK POLKADOT,37289.590000000004,20165,871,372,2.0186067415730338
23284,DOORMAT KEEP CALM AND COME IN,35913.85,5342,648,378,7.91351145038168
23298,SPOTTY BUNTING,35539.25,7639,1003,571,4.9179351032448375
82484,WOOD BLACK BOARD ANT WHITE FINISH,34478.01,5921,604,285,7.46414191419142
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,7020,1146,640,4.953615185504745
22960,JAM MAKING SET WITH JARS,32662.97,8151,878,573,4.1837204058624575
85099F,JUMBO BAG STRAWBERRY,30644.2,16807,654,315,2.0072138554216865
22178,VICTORIAN GLASS HANGING T-LIGHT,28776.51,22433,815,403,1.4312121212121212
22470,HEART OF WICKER LARGE,28520.95,9591,801,485,2.956837606837607
22469,HEART OF WICKER SMALL,28228.64,16775,961,573,1.6394923857868018
20725,LUNCH BAG RED RETROSPOT,28048.45,17697,1288,532,1.658966565349544
23245,SET OF 3 REGENCY CAKE TINS,26625.68,5856,718,472,4.93283356258597
23199,JUMBO BAG APPLES,26451.260000000002,13887,718,344,2.0620523415977963
22727,ALARM CLOCK BAKELIKE RED ,25925.2,7221,877,388,3.7667074527252504
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27,9433,697,470,2.9365357643758765
20685,DOORMAT RED RETROSPOT,25397.85,3901,576,329,7.75979274611399
21175,GIN + TONIC DIET METAL SIGN,24988.98,11519,655,330,2.462650602409638
22699,ROSES REGENCY TEACUP AND SAUCER ,24865.600000000002,9132,783,423,2.923483146067416
22629,SPACEBOY LUNCH BOX ,24694.59,13919,704,322,1.9311666666666667
23355,HOT WATER BOTTLE KEEP CALM,24426.3,5338,719,474,4.867162162162162
22457,NATURAL SLATE HEART CHALKBOARD ,24245.520000000004,8480,967,587,2.975061224489796
23201,JUMBO BAG ALPHABET,24175.0,12540,752,396,2.0583574244415246
21181,PLEASE ONE PERSON METAL SIGN,23930.920000000002,11963,694,361,2.0726647966339415
21915,RED  HARMONICA IN BOX ,23793.93,20975,561,349,1.261146384479718
48138,DOORMAT UNION FLAG,23697.99,3625,516,313,7.794423076923077
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23675.04,12793,649,306,2.0122306525037934
22112,CHOCOLATE HOT WATER BOTTLE,23624.24,5160,700,382,4.873865546218488
22197,POPCORN HOLDER,23427.71,30931,632,295,0.8432724505327245
23173,REGENCY TEAPOT ROSES ,23073.32,2666,354,248,9.705872576177285
22138,BAKING SET 9 PIECE RETROSPOT ,23007.55,4797,854,581,4.988742791234141
48187,DOORMAT NEW ENGLAND,22968.25,3721,531,314,7.816219739292365
22189,CREAM HEART CARD HOLDER,22715.57,8195,452,274,3.8768627450980393
21623,VINTAGE UNION JACK MEMOBOARD,22709.13,3255,205,139,9.767211538461538
21733,RED HANGING HEART T-LIGHT HOLDER,22624.690000000002,7759,679,385,2.948390804597701
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,22175.52,8100,595,281,2.9357471264367816
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22133.829999999998,4663,385,275,4.888174807197943
21931,JUMBO STORAGE BAG SUKI,21790.95,11516,774,333,2.028888888888889
48185,DOORMAT FAIRY CAKE,21187.69,3429,241,143,7.906557377049181
22961,JAM MAKING SET PRINTED,21170.75,15055,868,537,1.4715885714285712
23202,JUMBO BAG VINTAGE LEAF,20963.93,10716,772,377,2.0784015345268543
21621,VINTAGE UNION JACK BUNTING,20962.16,2540,391,267,8.505348258706467
22726,ALARM CLOCK BAKELIKE GREEN,20880.4,5641,789,322,3.7910148514851483
22666,RECIPE BOX PANTRY YELLOW DESIGN,20859.27,7373,828,471,2.9624199288256228
15056N,EDWARDIAN PARASOL NATURAL,20696.71,3826,378,184,5.864685863874345
23203,JUMBO BAG VINTAGE DOILY ,20674.68,10636,621,363,2.0620977917981076
85066,CREAM SWEETHEART MINI CHEST,20562.92,1705,445,289,12.648483516483518
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20530.0,5372,653,393,3.9175074183976264
22139,RETROSPOT TEA SET CERAMIC 11 PC ,20470.78,4248,823,488,4.997995198079232
21166,COOK WITH WINE METAL SIGN ,20315.33,10209,602,287,2.038988580750408
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20174.23,10518,790,375,2.0374844333748445
22630,DOLLY GIRL LUNCH BOX,20129.44,11336,616,287,1.950880503144654
22111,SCOTTIE DOG HOT WATER BOTTLE,20104.350000000002,4259,656,425,4.90327868852459
82482,WOODEN PICTURE FRAME WHITE FINISH,20001.65,8276,876,410,2.655512965050733
48194,DOORMAT HEARTS,19948.81,3271,480,286,7.949690082644628
21731,RED TOADSTOOL LED NIGHT LIGHT,19844.91,12871,522,266,1.6594953271028037
22659,LUNCH BOX I LOVE LONDON,19353.22,11094,504,213,1.9271077504725898
21523,DOORMAT FANCY FONT HOME SWEET HOME,19157.02,3088,397,203,7.865376884422111
20713,JUMBO BAG OWLS,19076.92,10466,411,207,2.0192874109263657
22090,PAPER BUNTING RETROSPOT,18791.890000000003,6879,567,325,2.904694589877836
22728,ALARM CLOCK BAKELIKE PINK,18569.09,5074,613,291,3.7871497584541065
21929,JUMBO BAG PINK VINTAGE PAISLEY,18429.98,9889,602,308,2.0409405940594056
23206,LUNCH BAG APPLE DESIGN,18278.25,11565,866,401,1.641508379888268
20727,LUNCH BAG  BLACK SKULL.,18024.55,11291,1052,458,1.6438461538461537
21843,RED RETROSPOT CAKE STAND,17929.75,1809,421,260,10.862765957446808
22697,GREEN REGENCY TEACUP AND SAUCER,17806.34,6430,691,387,2.9422670375521562
23344,JUMBO BAG 50'S CHRISTMAS ,17679.72,8954,586,391,2.0702990033222592
82494L,WOODEN FRAME ANTIQUE WHITE ,17625.070000000003,6282,811,392,2.9329756097560975
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,17604.99,6481,458,227,2.9280042462845013
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17592.52,7907,305,192,2.605840978593272
22467,GUMBALL COAT RACK,17580.350000000002,7688,570,262,2.4994880546075082
22969,HOMEMADE JAM SCENTED CANDLES,17521.6,12092,518,429,1.450732177263969
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,17304.57,10082,192,160,1.4016751269035532
20728,LUNCH BAG CARS BLUE,17265.68,10820,966,479,1.656875631951466
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2,15940,239,167,1.2353974895397488
23203,JUMBO BAG DOILEY PATTERNS,16741.260000000002,8737,454,299,2.046353711790393
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,16570.29,5655,221,145,3.4532142857142856
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,16569.58,5882,763,356,2.95301404853129
21212,PACK OF 72 RETROSPOT CAKE CASES,16394.53,33693,1029,635,0.5482116104868914
22384,LUNCH BAG PINK POLKADOT,16349.5,10254,931,444,1.6517136886102401
22865,HAND WARMER OWL DESIGN,16237.630000000001,8115,572,375,2.112676767676768
15036,ASSORTED COLOURS SILK FAN,16044.44,21876,324,194,0.8050153846153846
22492,MINI PAINT SET VINTAGE ,16039.24,26076,325,213,0.656523076923077
22382,LUNCH BAG SPACEBOY DESIGN ,15881.2,9912,988,490,1.655674603174603
21485,RETROSPOT HEART HOT WATER BOTTLE,15871.73,3335,533,371,4.958850364963504
21754,HOME BUILDING BLOCK WORD,15630.960000000001,2654,691,360,6.017971830985916
85152,HAND OVER THE CHOCOLATE   SIGN ,15539.11,8164,590,270,2.1021308724832215
20712,JUMBO BAG WOODLAND ANIMALS,15511.6,8187,492,248,2.0361971830985914
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15415.22,3736,514,325,4.212192307692308
22383,LUNCH BAG SUKI DESIGN ,15384.05,9601,899,399,1.6532583065380493
22385,JUMBO BAG SPACEBOY DESIGN,15331.02,8236,477,247,2.0364681724845997
15056BL,EDWARDIAN PARASOL BLACK,15218.67,2779,291,142,5.8937113402061865
84946,ANTIQUE SILVER T-LIGHT GLASS,15206.42,12973,534,348,1.2428280961182994
22077,6 RIBBONS RUSTIC CHARM,14988.59,8605,726,413,1.7783355525965379
22624,IVORY KITCHEN SCALES,14788.33,1783,620,376,8.582519685039369
22698,PINK REGENCY TEACUP AND SAUCER,14769.490000000002,5343,556,319,2.9354109589041095
82483,WOOD 2 DRAWER CABINET WHITE FINISH,14689.87,2341,509,241,6.730345489443379
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14632.970000000001,7757,451,232,2.0593201754385966
20726,LUNCH BAG WOODLAND,14537.11,9115,820,372,1.6592636579572446
22993,SET OF 4 PANTRY JELLY MOULDS,14180.17,11792,866,431,1.256909294512878
22835,HOT WATER BOTTLE I AM SO POORLY,13847.28,2972,505,316,4.858841698841699
22197,SMALL POPCORN HOLDER,13798.72,18252,403,228,0.832919708029197
84997D,CHILDRENS CUTLERY POLKADOT PINK,13796.6,3530,323,208,4.172439024390244
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13586.249999999998,54415,472,307,0.29260042283298093
48184,DOORMAT ENGLISH ROSE ,13470.95,1975,356,227,7.776983240223463
22084,PAPER CHAIN KIT EMPIRE,13435.150000000001,4893,374,277,2.9071801566579634
84029E,RED WOOLLY HOTTIE WHITE HEART.,13430.51,3707,321,228,4.0547560975609755
22847,BREAD BIN DINER STYLE IVORY,13131.89,847,341,214,16.527947214076246
23356,LOVE HOT WATER BOTTLE,13115.4,2352,449,316,5.89291754756871
23200,JUMBO BAG PEARS,13043.24,6733,470,262,2.0721383647798746
22622,BOX OF VINTAGE ALPHABET BLOCKS,13035.66,1295,231,174,11.122554112554113
84078A,SET/4 WHITE RETRO STORAGE CUBES ,13007.150000000001,357,106,79,38.86509433962265
23313,VINTAGE CHRISTMAS BUNTING,12994.77,2755,359,254,4.951293800539084
23108,SET OF 10 LED DOLLY LIGHTS,12985.23,2194,351,271,6.148418079096045
82583,HOT BATHS METAL SIGN,12832.140000000001,6415,385,206,2.081831683168317
84978,HANGING HEART JAR T-LIGHT HOLDER,12674.72,10980,572,304,1.2280378657487092
22752,SET 7 BABUSHKA NESTING BOXES,12665.29,1654,297,188,8.404186046511628
22558,CLOTHES PEGS RETROSPOT PACK 24 ,12545.38,8418,639,363,1.5954783950617282
23301,GARDENERS KNEELING PAD KEEP CALM ,12493.48,7740,756,405,1.6638151041666667
22507,MEMO BOARD RETROSPOT  DESIGN,12411.02,2786,348,230,4.937327586206897
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12294.38,1723,304,172,8.363668831168832
22188,BLACK HEART CARD HOLDER,12261.9,4844,166,123,3.798802395209581
22866,HAND WARMER SCOTTY DOG DESIGN,12248.76,6118,471,329,2.0893027888446216
20750,RED RETROSPOT MINI CASES,12216.8,1712,365,235,7.749455040871935
22113,GREY HEART HOT WATER BOTTLE,12191.15,3156,511,337,4.029555555555556
22551,PLASTERS IN TIN SPACEBOY,12151.8,7664,579,339,1.657070707070707
22941,CHRISTMAS LIGHTS 10 REINDEER,12150.0,1572,253,205,8.447647058823529
20749,ASSORTED COLOUR MINI CASES,12123.41,1719,365,239,7.790978260869565
21524,DOORMAT SPOTTY HOME SWEET HOME,12095.67,1662,405,251,7.964829268292683
22867,HAND WARMER BIRD DESIGN,12081.430000000002,6001,474,333,2.1100409836065577
22083,PAPER CHAIN KIT RETROSPOT,12043.210000000001,4307,444,294,2.9532142857142856
23207,LUNCH BAG ALPHABET DESIGN,12029.06,7554,647,377,1.6529210134128165
22379,RECYCLING BAG RETROSPOT ,11942.43,6088,407,187,2.1248067632850245
DOT,DOTCOM POSTAGE,11906.36,16,16,1,744.1475
22625,RED KITCHEN SCALES,11895.73,1476,448,292,8.442373626373627
22568,FELTCRAFT CUSHION OWL,11783.05,3284,417,244,3.785610328638498
22273,FELTCRAFT DOLL MOLLY,11762.99,4469,293,211,2.967033333333333
47590B,PINK HAPPY BIRTHDAY BUNTING,11688.150000000001,2287,359,238,5.412534435261708
23077,DOUGHNUT LIP GLOSS ,11640.7,9662,308,217,1.2418446601941748
22554,PLASTERS IN TIN WOODLAND ANIMALS,11637.43,7307,587,351,1.6501322314049585
21977,PACK OF 60 PINK PAISLEY CAKE CASES,11629.699999999999,24264,669,410,0.551399416909621
20971,PINK BLUE FELT CRAFT TRINKET BOX,11629.39,10225,457,277,1.269508547008547
22607,WOODEN ROUNDERS GARDEN SET ,11601.14,1269,303,224,9.776254071661237
22191,IVORY DINER WALL CLOCK,11587.2,1426,391,239,8.461845386533666
23174,REGENCY SUGAR BOWL GREEN,11575.54,2956,268,190,4.126728624535317
22149,FELTCRAFT 6 FLOWER FRIENDS,11566.39,5890,461,337,2.1034249471458777
48188,DOORMAT WELCOME PUPPIES,11544.2,2028,252,163,7.909407114624505
21755,LOVE BUILDING BLOCK WORD,11535.56,1946,555,337,6.015879310344828
22427,ENAMEL FLOWER JUG CREAM,11444.93,1995,441,311,5.911252796420581
82486,WOOD S/3 CABINET ANT WHITE FINISH,11394.9,1370,373,183,8.565343915343915
22193,RED DINER WALL CLOCK,11074.39,1352,416,206,8.497350835322196
21232,STRAWBERRY CERAMIC TRINKET BOX,10895.52,9328,507,296,1.2444077669902913
21930,JUMBO STORAGE BAG SKULLS,10890.79,5706,471,220,2.027713097713098
22501,PICNIC BASKET WICKER LARGE,10818.9,1194,257,187,9.779806949806948
22570,FELTCRAFT CUSHION RABBIT,10694.81,3018,324,202,3.7373573573573573
22413,METAL SIGN TAKE IT OR LEAVE IT ,10647.300000000001,3690,351,228,2.964385474860335
21790,VINTAGE SNAP CARDS,10447.42,13336,722,449,0.8515353260869566
47566B,TEA TIME PARTY BUNTING,10445.25,2291,313,192,4.861041009463722
21936,RED RETROSPOT PICNIC BAG,10371.66,3758,385,223,2.9493814432989693
23209,LUNCH BAG VINTAGE DOILY ,10370.76,6452,538,319,1.649783393501805
22662,LUNCH BAG DOLLY GIRL DESIGN,10360.69,6545,598,310,1.6559283387622148
23209,LUNCH BAG DOILEY PATTERN ,10331.3,6482,464,290,1.642356687898089
22730,ALARM CLOCK BAKELIKE IVORY,10285.61,2728,468,241,3.7554716981132072
22087,PAPER BUNTING WHITE LACE,10264.050000000001,3779,257,155,2.880566037735849
85014B,RED RETROSPOT UMBRELLA,10247.470000000001,1846,303,210,6.092450980392157
21479,WHITE SKULL HOT WATER BOTTLE ,10227.72,2702,378,252,4.019002557544757
